A,WNT-1,WNT-2,WNT-2B,WNT-3,WNT-3A,WNT-4,WNT-5A,WNT-5B,WNT-6,WNT-7A,WNT-7B,WNT-8A,WNT-8B,WNT-9A,WNT-9B,WNT-10A,WNT-10B,WNT-11,WNT-16
FZD1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
FZD2,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0
FZD3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FZD4,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FZD5,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
FZD6,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
FZD7,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
FZD8,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
FZD9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FZD10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
