source;target;value;group
0;15;1;a1
0;22;1;a8
1;15;1;a1
1;16;1;a2
1;17;1;a3
1;18;1;a4
1;19;1;a5
1;20;1;a6
1;22;1;a8
1;23;2;a9
2;15;1;a1
2;16;1;a2
2;21;1;a7
3;16;1;a2
4;19;1;a5
5;20;1;a6
6;15;1;a1
6;16;1;a2
6;17;1;a3
6;18;1;a4
6;19;1;a5
6;20;1;a6
6;21;1;a7
6;22;1;a8
7;15;1;a1
7;20;1;a6
8;16;1;a2
9;15;1;a1
9;16;1;a2
9;19;1;a5
9;20;1;a6
9;21;1;a7
9;23;1;a9
9;24;1;a10
10;15;1;a1
10;16;1;a2
10;18;1;a4
10;24;1;a10
11;22;1;a8
12;18;1;a4
13;15;1;a1
13;16;1;a2
13;17;1;a3
13;18;1;a4
13;19;1;a5
13;20;1;a6
13;21;1;a7
13;22;1;a8
14;19;1;a5
14;22;1;a8
15;25;2;a1
15;26;1;a1
15;28;1;a1
15;30;1;a1
15;31;1;a1
15;32;1;a1
15;33;1;a1
16;25;2;a2
16;26;2;a2
16;28;2;a2
16;29;1;a2
16;30;1;a2
17;34;2;a3
17;35;1;a3
18;32;3;a4
18;33;2;a4
19;30;6;a5
20;25;2;a6
20;26;2;a6
20;30;2;a6
21;28;2;a7
21;34;2;a7
23;26;1;a9
23;27;1;a9
23;28;1;a9
24;33;2;a10
